 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date:   9.10.    Time:  14: 8:15
 Units: L = m    , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  232      1.39     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  233      1.39     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  234      1.40     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  235      1.40     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  236      1.41     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  237      1.42     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  238      1.42     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  239      1.43     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  240      1.43     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  241      1.44     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  242      1.45     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  243      1.45     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  244      1.46     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  245      1.46     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  246      1.47     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  247      1.48     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  248      1.48     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  249      1.49     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  250      1.49     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  251      1.50     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  252      1.51     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  253      1.51     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  254      1.52     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  255      1.52     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  256      1.53     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  257      1.54     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  258      1.54     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  259      1.55     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  260      1.55     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  261      1.56     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  262      1.57     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  263      1.57     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  264      1.58     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  265      1.58     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  266      1.59     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  267      1.60     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  268      1.60     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  269      1.61     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  270      1.61     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  271      1.62     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  272      1.63     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  273      1.63     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  274      1.64     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
  275      1.64     0.045     0.430      -0.0   0.713E+01     1.000     0.000     1.000     1.000     1.000
